,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
1481,2020-03-13,2020-03-21,Swedish Mill Creek Medical,Snohomish,Mill Creek,"mask, anti fog reference #49235",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,MC010 SNOCO ­ 202031313984,WA­ 202031313984,
1482,2020-03-13,2020-03-21,Swedish Mill Creek,Snohomish,Mill Creek,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­ 202031311542,WA­ 202031311542,
1483,2020-03-23,2020-03-23,Department of Corrections,Thurston,Olympia,* doc consolidated list,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,WA­ 202032316750,WA­ 202032316750,
1484,2020-03-18,2020-03-23,Snohomish County ­ DEM ECC,Snohomish,Everett,"masks, variable",Masks,Incident Stabilization,County,Assigned,,,119974 SnoCo­ 202031815235,WA­ 202031815235,
1485,2020-03-23,2020-03-23,Clark County,Clark,Vancouver,* clark consolidated list,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,WA­ 202032312957,WA­ 202032312957,
1486,2020-03-22,2020-03-23,Island County Emergency Coordination Center,Island,Coupeville,*consolidated island county list,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,IC­20­030052,WA­ 202032213810,
1487,2020-03-22,2020-03-23,Yakima Valley Emergency Management,Yakima,Grandview,* yakima consolidated list,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,02­02­02 RRQ­ 019,WA­ 202032218454,
1488,2020-03-22,2020-03-23,Grant County Sheriff's Office EMD,Grant,Coulee City,*grant consolidated list,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,2020­32,WA­ 202032218955,
1489,2020-03-22,2020-03-23,KCDEM for Kitsap County Tier 1 EMS/HC Orgs,Kitsap,Bremerton,*kitsap county consolidated list,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,Kitsap ­ BULK001­1,WA­ 202032215760,
1490,2020-03-23,2020-03-23,DCHS,King,Seattle,"gloves, garbage bags, disinfectant wipes, and spray bottles",Gloves,,County,Unassigned,,,3,WA­ 202032317978,
1491,2020-03-20,2020-03-23,Nisqually Indian Tribe,Thurston,Olympia,*nisqually indian tribe request,,Incident Stabilization,State,Accepted,Accepted,Logistics Section,20­0265 20­0265,WA­ 202032014379,
1492,2020-03-23,2020-03-23,SEOC JIC,Pierce,Lakewood,staff: rita baysinger,,Incident Stabilization,State,Assigned,Assigned,Operations Section Planning Section,1836 1836,WA­ 202032316527,
1493,2020-03-18,2020-03-23,Snohomish County Department of Emergency Management,Snohomish,Everett,federal medical station (fms),,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 202031818276,WA­ 202031818276,
1494,2020-03-23,2020-03-23,Cascade Behavioral Hospital,King,Tukwila,rr 336a (do not remove) ­ ppe for cascade behavioral hospital,,Incident Stabilization,City,Unassigned,,,"PH­ 202032316895, RR 336a",WA­ 202032316895,
1495,2020-03-23,2020-03-23,EMD,Pierce,Lakewood,type 1 imt,,Incident Stabilization,State,Assigned,Accepted,Logistics Intergovernmental Resources Branch,WA­ 202032313659,WA­ 202032313659,
1496,2020-03-23,2020-03-23,Seadrunar,King,Seattle,rr 331b (do not remove) ­ disinfectant for seadrunar,Disinfectant/Sanitizer,Incident Stabilization,County,Unassigned,,,"PH­ 202032315546, RR 331b KC­ 202032315546",WA­ 202032315546,
1497,2020-03-20,2020-03-20,Kittitas County Emergency Management,Kittitas,Ellensburg,handheld infrared thermoeter for humans,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,0001 0011,WA­ 202032014810,
1498,2020-03-20,2020-03-20,Snhomish Health District,Snohomish,Everett,large tents,,Incident Stabilization,County,Accepted,,,SnoCo­ 202032014714,WA­ 202032014714,
1499,2020-03-20,2020-03-20,Snohomish Health District,Snohomish,Snohomish,chairs,,Incident Stabilization,County,Accepted,,,Snoco­ 202032014820,WA­ 202032014820,
1500,2020-03-20,2020-03-20,Delaware Place,Cowlitz,Longview,medical protective equipment,Protective Equipment,Incident Stabilization,County,Unassigned,,,DEM­023,WA­ 202032014510,
1500,2020-03-20,2020-03-20,Delaware Place,Cowlitz,Longview,supplies,,Incident Stabilization,County,Unassigned,,,DEM­023,WA­ 202032014510,
1501,2020-03-20,2020-03-20,Burlington Fire,Skagit,Burlington,mask.n95,Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202032013993,
1501,2020-03-20,2020-03-20,Burlington Fire,Skagit,Burlington,ppe,PPE,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202032013993,
1502,2020-02-08,2020-03-20,PHSKC,King,Seattle,10 call center staff,,Incident Stabilization,County,Cancelled,Cancelled,Logistics Intergovernmental Resources Branch,PH­ 20202813625 1,WA­ 20202813625,
1503,2020-03-20,2020-03-20,Snoco ECC,Snohomish,Snohomish,"coveralls, body barriers, shoe covers",,Incident Stabilization,County,Accepted,,,Snoco­ 202032012541,WA­ 202032012541,
1504,2020-03-20,2020-03-20,Okanogan EM / Okanogan County Transit,Okanogan,Okanogan County,garbage bags,,Incident Stabilization,County,Unassigned,,,OKEM20200320­ 0022,WA­ 20203201269,
1505,2020-03-20,2020-03-20,Okanogan EM / Okanogan County Transit,Okanogan,Okanogan County,disinfectant spray,Disinfectant/Sanitizer,Incident Stabilization,County,Unassigned,,,OKEM20200320­ 0021,WA­ 202032012515,
1506,2020-03-10,2020-03-20,Algona City Manager,King,Algona,thermometers,Thermometers,,County,Completed,,,KC­ 202031016706,WA­ 202031016706,
1507,2020-03-04,2020-03-20,Public Health Seattle King County,King,Seattle,5 pios,,Incident Stabilization,County,Completed,Assigned,Logistics Section,KC­ 20203411550,WA­ 20203411550,
1508,2020-03-20,2020-03-20,SC DEM,Skamania,Stevenson,ppe for fire dist. #2,PPE,,County,Unassigned,,,2,WA­ 202032011534,
1508,2020-03-20,2020-03-20,SC DEM,Skamania,Stevenson,stevenson fire,,,County,Unassigned,,,2,WA­ 202032011534,
1509,2020-03-19,2020-03-20,Swinomish Tribe,Skagit,Anacortes,ppe,PPE,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031917772,
1510,2020-03-19,2020-03-20,Sauk Suiattle Tribe,Skagit,Mount Vernon,type 3 barrier,,Incident Stabilization,County,Assigned,Accepted,ESF 3­Public Works and Engineering,202003190235 202003190235,WA­ 202031914299,
1511,2020-03-20,2020-03-21,City of DuPont,Pierce,DuPont,"disinfecting wipes,",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,30123 30123,WA­ 20203209915,
1511,2020-03-20,2020-03-21,City of DuPont,Pierce,DuPont,"mask, n95,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,30123 30123,WA­ 20203209915,
1511,2020-03-20,2020-03-21,City of DuPont,Pierce,DuPont,"gloves, exam, small, medium, large,",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,30123 30123,WA­ 20203209915,
1511,2020-03-20,2020-03-21,City of DuPont,Pierce,DuPont,ppe,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,30123 30123,WA­ 20203209915,
1512,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,"mask, surgical, 1200",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913867 IC­20­030035,WA­ 202031913867,
1512,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,surgical masks,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913867 IC­20­030035,WA­ 202031913867,
1513,2020-03-20,2020-03-21,Pierce County Emergency Management,Pierce,University Place,"mask, n96,",Masks,Incident Stabilization,County,Assigned,Unassigned,Logistics Section,WA­ 20203201477 29715,WA­ 20203201477,
1513,2020-03-20,2020-03-21,Pierce County Emergency Management,Pierce,University Place,"gown, disposable,",Gowns,Incident Stabilization,County,Assigned,Unassigned,Logistics Section,WA­ 20203201477 29715,WA­ 20203201477,
1513,2020-03-20,2020-03-21,Pierce County Emergency Management,Pierce,University Place,"hand sanitizer,",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Unassigned,Logistics Section,WA­ 20203201477 29715,WA­ 20203201477,
1513,2020-03-20,2020-03-21,Pierce County Emergency Management,Pierce,University Place,"5000 n95, 5000 gowns, 100 hand sanitizer",Gowns,Incident Stabilization,County,Assigned,Unassigned,Logistics Section,WA­ 20203201477 29715,WA­ 20203201477,
1514,2020-03-17,2020-03-21,KCEMS1,Klickitat,Goldendale,disposable surgical gowns,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,260022,WA­ 202031710849,
1515,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,"goggles, safety, 250",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913962 IC­20­030034,WA­ 202031913962,
1515,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,safety goggles,Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913962 IC­20­030034,WA­ 202031913962,
1516,2020-03-13,2020-03-21,Klickitat Valley Health,Klickitat,Bingen,utm­rt medium,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KVH­3 02600004,WA­ 2020313148,
1517,2020-03-09,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"n95 masks, surgical masks, protective gowns, eye protection",Masks,Incident Stabilization,County,Accepted,Assigned,Logistics Section,28193,WA­ 20203910473,
1518,2020-03-16,2020-03-21,Goldendale Fire Department,Klickitat,Goldendale,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614283 0260012,WA­ 202031614283,
1519,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"sanitizer, hand, foam",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032020861 0260035,WA­ 202032020861,
1520,2020-03-20,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032016130 30258,WA­ 202032016130,
1520,2020-03-20,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"disinfectant, wipes",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032016130 30258,WA­ 202032016130,
1520,2020-03-20,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,disinfectant spray,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032016130 30258,WA­ 202032016130,
1521,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,sanitizing wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032020333 0260034,WA­ 202032020333,
1522,2020-03-20,2020-03-21,Klickitat Department of Emergency Management,Klickitat,Goldendale,trash bags,,Incident Stabilization,County,Assigned,,,WA­ 202032020326 0260036,WA­ 202032020326,
1523,2020-03-18,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,"maks, 3m half mask (model 7501 sizes s, m)",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030032,WA­ 202031811610,
1524,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"bleach, liquid",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032020146 0260037,WA­ 202032020146,
1525,2020-03-10,2020-03-21,Central Pierce Fire,Pierce,Puyallup,"gown, disposable",Gowns,Incident Stabilization,County,Accepted,Completed,Logistics Section,20­0265 28193,WA­ 202031014461,
1526,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"medication, albuteral sulfate inhaler",Medication,Life Saving,County,Assigned,Assigned,Logistics Section,WA­ 202032021130 0260047,WA­ 202032021130,
1527,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,"beds, hospital patient",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,260038,WA­ 202032020702,
1528,2020-03-18,2020-03-18,Cowlitz Longview,03/18/2020,12:13:21,,,Medical equipment,,County,Unassigned,,Beacon Hill Rehabilitation,DEM­018,WA­ 202031812684
1529,2020-03-18,2020-03-18,Anacortes Fire,Skagit,Anacortes,"mask,surgical",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 20203181142,
1529,2020-03-18,2020-03-18,Anacortes Fire,Skagit,Anacortes,"mask,n95",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 20203181142,
1530,2020-03-18,2020-03-18,Burlington Fire,Skagit,Burlington,"mask,surgical",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811836,
1531,2020-03-18,2020-03-18,Sedro­ Woolley Fire,Skagit,Sedro­ Woolley,"gown,disposable",Gowns,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811125,
1531,2020-03-18,2020-03-18,Sedro­ Woolley Fire,Skagit,Sedro­ Woolley,"mask,n95",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811125,
1531,2020-03-18,2020-03-18,Sedro­ Woolley Fire,Skagit,Sedro­ Woolley,"mask,n95 sm",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811125,
1532,2020-03-17,2020-03-18,Upper Skagit Tribal Clinic,Skagit,Sedro­ Woolley,"gloves,nitrile",Gloves,Incident Stabilization,County,Accepted,,,91­0936960 202003161704,WA­ 20203179400,
1532,2020-03-17,2020-03-18,Upper Skagit Tribal Clinic,Skagit,Sedro­ Woolley,"gown,disposable",Gowns,Incident Stabilization,County,Accepted,,,91­0936960 202003161704,WA­ 20203179400,
1533,2020-03-18,2020-03-18,Skagit Pediatrics,Skagit,Mount Vernon,face shield,Face Shield,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811370,
1533,2020-03-18,2020-03-18,Skagit Pediatrics,Skagit,Mount Vernon,"gown,disposable",Gowns,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811370,
1533,2020-03-18,2020-03-18,Skagit Pediatrics,Skagit,Mount Vernon,"mask,surgical child",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811370,
1533,2020-03-18,2020-03-18,Skagit Pediatrics,Skagit,Mount Vernon,"mask,surgical adult",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 202031811370,
1534,2020-03-18,2020-03-18,Ferry County Emegency Management,Ferry,Republic,ppe,PPE,Incident Stabilization,County,Unassigned,,,2020­002,WA­ 202031810574,
1535,2020-02-28,2020-03-18,PHSKC,King,Seattle,rr 034 ­ admin specs (3) for cm branch,,Incident Stabilization,City,Unassigned,,,PH­202022811656,WA­ 202022811656,
1536,2020-03-10,2020-03-18,Office of Equity and Social Justice,King,Seattle,closed captioning services,,,County,Completed,,,KC­20203109961,WA­ 20203109961,
1537,2020-03-08,2020-03-18,DCHS,King,Seattle,transportation of people infected with covid­19,,Incident Stabilization,County,Assigned,,,KC­20203816826,WA­ 20203816826,
1538,2020-03-08,2020-03-18,DCHS,King,Seattle,metro mobility trasnport of 100 shelter stayers to seattle center exh. hall,,Incident Stabilization,County,Assigned,,,KC­20203815307,WA­ 20203815307,
1539,2020-03-04,2020-03-18,PHSKC,King,Seattle,rr 146 ­ nonmedical supplies for evergreen testing clinic,,Incident Stabilization,County,Completed,Assigned,Logistics Section,RR 146 PH­20203418835,WA­ 20203418835,
1540,2020-02-13,2020-02-21,PHSKC,King,Seattle,rr 129 ­ international calling cards,,Incident Stabilization,City,Completed,Assigned,Logistics Section,PH­ 20202138631,WA­ 20202138631,
1541,2020-02-18,2020-02-21,PHSKC,King,Seattle,rr 120 ­ texting platform,,Incident Stabilization,City,Cancelled,,,PH­ 202021811839,WA­ 202021811839,
1542,2020-02-18,2020-02-21,PHSKC,King,Seattle,rr 121 ­ disposable phones,,Incident Stabilization,City,Cancelled,,,DP­ 202021811732,WA­ 202021811732,
1543,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 025 ­ texting coordinator,,Incident Stabilization,City,Cancelled,,,PH­ 20202715695,WA­ 20202715695,
1544,2020-02-18,2020-02-21,PHSKC,King,Seattle,rr 129 ­ international calling cards,,,City,Completed,,,RR 129,WA­ 202021811674,
1545,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 008 ­ health educator,,Incident Stabilization,City,Completed,Completed,Operations Section,PH­ 2020271240,WA­ 2020271240,
1546,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 021 ­ communications assistance,,Incident Stabilization,City,Completed,Completed,Operations Section,PH­ 20202715933,WA­ 20202715933,
1547,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 018 ­ support branch deputy,,Incident Stabilization,City,Completed,Completed,Logistics Section,PH­ 20202711546,WA­ 20202711546,
1548,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 023 ­ spiritual care,,Incident Stabilization,City,Completed,Completed,Operations Section,PH­ 20202715501,WA­ 20202715501,
1549,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 115 ­ printing services,,Incident Stabilization,City,Completed,Completed,Finance and Administration Section,PH­ 20202715504,WA­ 20202715504,
1550,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 114 ­ lodging,,Incident Stabilization,City,Completed,Completed,Operations Section,PH­ 20202715650,WA­ 20202715650,
1551,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 017 ­ isolation and quarantine coordinator,,Incident Stabilization,City,Completed,Completed,Operations Section,PH­ 2020271135,WA­ 2020271135,
1552,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 112 ­ additional workspaces,,Incident Stabilization,City,Completed,Assigned,Logistics Section,PH­ 20202714206,WA­ 20202714206,
1553,2020-03-06,2020-03-22,of San Francisco Seattle Branch,King,Renton,n­95 masks,Masks,Incident Stabilization,State,Cancelled,,,KC­ 20203610742,WA­ 20203610742,
1554,2020-02-06,2020-03-22,WA STATE DEPT OF HEALTH,King,Shoreline,on call medical staff,,Incident Stabilization,State,Cancelled,Cancelled,Planning Section,NCoV 03030,WA­ 20202614836,
1555,2020-03-20,2020-03-22,Whidbey Health Medical,Island,Coupeville,"staffing, whidbey island, respiratory therapists",Staffing,Incident Stabilization,State,Assigned,Assigned,Logistics Deploy and Planning Branch,WA­ 20203208697 IC­20­030042,WA­ 20203208697,
1556,2020-03-22,2020-03-22,Island County Emergency Coordination Center,Island,Coupeville,consolidated island county personal protective equipment (1 of 2),,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032210503 IC­20­030051,WA­ 202032210503,
1557,2020-03-22,2020-03-22,Island County Emergency Coordination Center,Island,Coupeville,consolidated island county personal protective equipment (2 of 2),,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032211152 IC­20­030052,WA­ 202032211152,
1558,2020-03-22,2020-03-22,Franklin County Emergency Management,Franklin,Connell,*franklin county consolidated list,,Incident Stabilization,State,Accepted,Accepted,Logistics Section,FCEM­RFA­ PPE­001 FC­COVID19 ­ ­001PPE,WA­ 202032214201,
1559,2020-03-11,2020-03-22,Lower Elwah Klallam Tribe,Clallam,Port Angeles,*consolidated list for elwah klallam tribe,,Incident Stabilization,State,Accepted,Accepted,Logistics Section,1,WA­ 202031117535,
1560,2020-03-16,2020-03-22,Benton Franklin Health District,Benton,Kennewick,staffing ­ bfhd­ imt support,Staffing,Incident Stabilization,State,Cancelled,Cancelled,Logistics Deploy and Planning Branch,BC018­ COVID19,WA­ 202031614887,
1561,2020-03-15,2020-03-22,Asotin County Emergency Management,Asotin,Asotin,test kits,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032211152 AC002,WA­ 202031510179,
1561,2020-03-15,2020-03-22,Asotin County Emergency Management,Asotin,Asotin,"test tubes, thermo",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032211152 AC002,WA­ 202031510179,
1561,2020-03-15,2020-03-22,Asotin County Emergency Management,Asotin,Asotin,applicators,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202032211152 AC002,WA­ 202031510179,
1562,2020-03-06,2020-03-22,Seattle,King,Seattle,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 20203615461,WA­ 20203615461,
1563,2020-03-21,2020-03-22,Central Washington Hospital,Chelan,Wenatchee,* chelan county ventilator request,,Life Saving,State,Accepted,Accepted,Logistics Section,WA­ 202032114113 2020­03­21­13,WA­ 202032114113,
1564,2020-03-10,2020-03-22,City of Seattle,King,Seattle,"gown, disposable",Gowns,Incident Stabilization,County,Accepted,Accepted,Logistics Section,STTL­q19sxq STTL­q19sxq,WA­ 20203109414,
1565,2020-03-18,2020-03-22,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"masks, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 023SKFR,WA­ 202031811151,
1566,2020-03-12,2020-03-22,King County EMS,King,Seattle,"mask, n95",Masks,Life Saving,County,Accepted,Assigned,Logistics Section,PH­2020­0002 KC­ 202031212976,WA­ 202031212976,
1566,2020-03-12,2020-03-22,King County EMS,King,Seattle,"mask, procedural",Masks,Life Saving,County,Accepted,Assigned,Logistics Section,PH­2020­0002 KC­ 202031212976,WA­ 202031212976,
1566,2020-03-12,2020-03-22,King County EMS,King,Seattle,"glasses, safety",Goggles/Glasses,Life Saving,County,Accepted,Assigned,Logistics Section,PH­2020­0002 KC­ 202031212976,WA­ 202031212976,
1566,2020-03-12,2020-03-22,King County EMS,King,Seattle,"gloves, exam",Gloves,Life Saving,County,Accepted,Assigned,Logistics Section,PH­2020­0002 KC­ 202031212976,WA­ 202031212976,
1566,2020-03-12,2020-03-22,King County EMS,King,Seattle,bvm hepa filter,,Life Saving,County,Accepted,Assigned,Logistics Section,PH­2020­0002 KC­ 202031212976,WA­ 202031212976,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"mask, n95, medium,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"mask, n95, large,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"gown, disposabe,",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"gloves, exam, small,",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"gloves, exam, medium,",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"gloves, exam, large,",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"infectious disease conatiner,",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"scrubs, small,",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"scrubs,medium,",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,"scrubs, large,",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1567,2020-03-17,2020-03-22,King County EMS,King,Seattle,covid19 testinng supplies and ppe,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS2020­ CVT1 KC­ 20203177328,WA­ 20203177328,
1568,2020-03-13,2020-03-21,TRIOS Health,Benton,Benton City,"protective, extra large, extra extra large",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC012­COVID19 WA­20203131462,WA­ 20203131462,
1569,2020-03-18,2020-03-21,Franklin County Emergency Management,Franklin,Connell,"mask, n95, large, 1000",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM COVID­19 03­ 18­2020 CBHA,WA­ 202031814262,
1569,2020-03-18,2020-03-21,Franklin County Emergency Management,Franklin,Connell,"mask, procedure, large, 1000",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM COVID­19 03­ 18­2020 CBHA,WA­ 202031814262,
1569,2020-03-18,2020-03-21,Franklin County Emergency Management,Franklin,Connell,"gown, disposable, large, 1000",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM COVID­19 03­ 18­2020 CBHA,WA­ 202031814262,
1570,2020-03-10,2020-03-21,Kadlec Medical,Benton,Benton City,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC007­COVID19,WA­ 202031014964,
1571,2020-03-12,2020-03-21,East Jefferson Fire District,Jefferson,Port Townsend,"gown, pre­ hospital",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID19­00002 EJFD WA­20203121394,WA­ 20203121394,
1572,2020-03-13,2020-03-21,TRIOS Health,Benton,Kennewick,"gown, disposable, extra large, extra extra large",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC013­COVID19 WA­202031314303,WA­ 202031314303,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,"masks, n98",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,"masks, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,face sheilds,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,safety glasses,Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,gloves,Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,thermometers,Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
1573,2020-03-19,2020-03-21,Franklin County Emergency Management,Franklin,Connell,germicide,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FCEM­03192020­ Covid FCEM­03192020­ Covid,WA­ 202031913427,
