,original_dt,update_dt,agency,county,city,subject,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
1334,2020-03-19,2020-03-21,City of Spokane,Spokane,Spokane,Disposable Face Shields,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COS­005,WA­ 202031910525,
1335,2020-03-19,2020-03-21,City of Spokane,Spokane,Spokane,"Mask, Disposable, Adult / N95, 16300",Incident Stabilization,County,Assigned,Assigned,Logistics Section,COS­004,WA­ 202031910740,
1336,2020-03-04,2020-03-21,HOLY FAMILY HOSPITAL,Spokane,Spokane,SURGICAL MASK / ^,Incident Stabilization,County,Completed,Completed,Logistics Section,HF­008,WA­ 2020349403,
1337,2020-03-19,2020-03-21,City of Spokane,Spokane,Spokane,"Gloves, Exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031910656 COS­006,WA­ 202031910656,
1338,2020-03-04,2020-03-21,Providence st joseph health,Spokane,Spokane,"Shield, Face",Incident Stabilization,County,Assigned,Assigned,Logistics Section,HF­012,WA­ 2020349960,
1339,2020-03-12,2020-03-21,Snohomish County,Snohomish,Everett,Hand Sanitizer Gel 1200mL refill,Incident Stabilization,County,Unassigned,,,SnoCo­ 202031216718,WA­ 202031216718,
1340,2020-03-12,2020-03-21,Kirkland Fire Department/City of Kirkland,King,Kirkland,Small N95 masks,Life Saving,City,Unassigned,,,KI2020­102 WA­ 202031217620,WA­ 202031217620,
1341,2020-03-12,2020-03-21,Kirkland Fire Department/City of Kirkland,King,Kirkland,Small N95 masks,Incident Stabilization,City,Unassigned,,,KI2020­102 WA­ 202031217470,WA­ 202031217470,
1342,2020-03-13,2020-03-21,City of Renton,King,Renton,Adult Temporal Thermometer,Incident Stabilization,City,Unassigned,,,Renton­2 Renton­2,WA­ 202031317971,
1343,2020-03-13,2020-03-21,CHI Franciscan Health,Pierce,Tacoma,"mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,29167,WA­ 202031314335,
1344,2020-03-18,2020-03-21,Snoqualmie Pass Fire & Rescue,Kittitas,Cle Elum,"Masks, N95, 3M 1870 or 3M 1860",Incident Stabilization,County,Assigned,Assigned,Logistics Section,0001 0007,WA­ 202031815783,
1345,2020-03-18,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,"Gloves, Disposable, Large, 1000",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031810842 IC­20­030023,WA­ 202031810842,
1346,2020-03-09,2020-03-21,Pediatric Association of Whidbey Island,Island,Coupeville,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030007 IC­20­030007,WA­ 20203916846,
1347,2020-03-06,2020-03-21,Welcome Home Assisted Living,Island,Coupeville,"Mask, N95 / Mask, Procedure",Incident Stabilization,County,Assigned,In Transit,Logistics Section,IC­20­030006,WA­ 2020361790,
1348,2020-03-08,2020-03-21,Brooklyn Manor AFH LLC,King,Kent,"Mask, N95 / Mask, Isolation / Hand Sanitizer / Gown, Disposable / Gloves, Exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 2020381416 PH­ 2020381416,WA­ 2020381416,
1349,2020-03-06,2020-03-21,Camano Island Fire and Rescue,Island,Coupeville,"Disinfectant, wipes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030003,WA­ 20203616285,
1350,2020-03-16,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"Mask, N­95 / mask, procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,29487 29487,WA­ 202031615355,
1351,2020-03-11,2020-03-21,King County Fire District #2 (Burien FD),King,Burien,"Mask, N95",Incident Stabilization,County,Assigned,In Transit,Logistics Section,KC­ 202031114567 KC­ 202031114567,WA­ 202031114567,
1352,2020-03-06,2020-03-21,Camano Island Fire and Rescue,Island,Camano,Safety Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­030002,WA­ 20203615682,
1353,2020-03-04,2020-03-21,"Advanced Family Medicine, PLLC",King,Redmond,"Mask, N95 / Mask, Procedure",Incident Stabilization,County,Assigned,Completed,Logistics Section,PH­ 20203413926 KC­ 20203413926,WA­ 20203413926,
1354,2020-03-06,2020-03-21,Camano Island Fire and Rescue,Island,Coupeville,"Goggles, Safety",Incident Stabilization,County,Assigned,Assigned,Logistics Section,20­0300001,WA­ 20203615284,
1355,2020-03-06,2020-03-21,Camano Island Fire and Rescue,Island,Coupeville,Protective Gown,Incident Stabilization,County,Accepted,Completed,Logistics Section,IC­20­300005,WA­ 20203616500,
1356,2020-03-19,2020-03-21,Kittitas Valley Healthcare,Kittitas,Ellensburg,"Mask, procedure, / Gown, disposable, / gloves, exam, asst sizes, / Mask, N95, / PPE",Incident Stabilization,County,Assigned,Assigned,Logistics Section,004 010,WA­ 20203191787,
1357,2020-03-06,2020-03-21,Camano Island Fire and Rescue,Island,Coupeville,"Mask, N95",Incident Stabilization,County,Accepted,Completed,Logistics Section,IC­20­030004,WA­ 20203616981,
1358,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"Staffing, Shoreline, Deputy Logistics Section Chief",Incident Stabilization,State,Assigned,Assigned,Planning Section,DOH­T 0306.43 WA­ 20203617492,WA­ 20203617492,
1359,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,Hand Soap / Nitrile Gloves / Eye Protection / Disinfecting Wipes,Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030028,WA­ 202031810121,
1360,2020-03-10,2020-03-21,Bliss Care AFH LLC,King,Auburn,"RR 210 / mask, N95 / mask, procedure / hand sanitizer / gown, disposable / gloves, exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010906 ­,WA­ 202031010906,
1361,2020-03-20,2020-03-21,Whidbey Health Medical,Island,Coupeville,"Staffing, Physicians",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­20203208327 IC­20­030040,WA­ 20203208327,
1362,2020-03-11,2020-03-21,Central Pierce,Pierce,Puyallup,"Mask, N95",Incident Stabilization,State,Completed,Completed,Logistics Section,20­0265 28193,WA­ 202031114501,
1363,2020-02-13,2020-03-21,DOH IMT,King,Shoreline,Operations Section Chief,Incident Stabilization,State,Cancelled,Cancelled,Planning Section,DOH 0213.12 DOH 0213.12,WA­ 202021316777,
1364,2020-02-14,2020-03-21,DOH IMT,King,Shoreline,Healthcare Preparedness Group Supervisor,Incident Stabilization,State,Cancelled,Cancelled,Planning Section,DOH,WA­ 202021411857,
1365,2020-02-07,2020-03-21,PHSKC,King,Seattle,RR 001 ­ Call Triage Admin,Incident Stabilization,City,Completed,Completed,Logistics Section,PH­20202712863,WA­ 20202712863,
1366,2020-02-14,2020-03-21,DOH IMT,King,Shoreline,Healthcare Preparedness Group Supervisor,Incident Stabilization,State,Cancelled,Cancelled,Planning Section,DOH,WA­ 20202141120,
1367,2020-02-24,2020-03-21,PHSKC,King,Seattle,RR 033 ­ I&Q Hotel Rooms per COVID 09,Incident Stabilization,City,Completed,Assigned,Logistics Section,PH­20202241171,WA­ 20202241171,
1368,2020-03-10,2020-03-21,PHSKC,King,Seattle,RR 209 ­ PortaCount Respirator Fit Testing Systems for HMAC Safety Officer,Incident Stabilization,City,Unassigned,,,PH­ 202031010135,WA­ 202031010135,
1369,2020-02-18,2020-03-21,DOH IMT,King,Shoreline,Public Health Planner,Incident Stabilization,State,Cancelled,Cancelled,Planning Section,DOH 0218­03,WA­ 20202189387,
1370,2020-03-16,2020-03-21,Grays Harbor Community Hospital,Grays,Harbor Aberdeen,"mask, N95",Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,T004 GHC022,WA­ 202031610949,
1371,2020-03-16,2020-03-21,Grays Harbor Community Hospital,Grays,Harbor Aberdeen,"masks, surgical with shield",Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,T005 GHC023,WA­ 202031611910,
1372,2020-03-03,2020-03-21,WA State DOH,Thurston,Tumwater,Planning Section Chief ­ Shoreline IMT,Incident Stabilization,State,Cancelled,Cancelled,Planning Section,DOH­T 0303.5 WA­20203315974,WA­ 20203315974,
1373,2020-03-05,2020-03-21,Evergreen Medical,King,Seattle,"masks, surgical / ^",Incident Stabilization,State,Completed,Completed,Logistics Section,PH­2020351561 WA­2020351561,WA­ 2020351561,
1374,2020-02-28,2020-03-21,San Juan County,San Juan,Friday Harbor,1000 N95 Masks,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,CVID2019­00001 CVID2019­00001,WA­ 202022816139,
1375,2020-02-27,2020-03-21,King County Sheriff's Office,King,Seattle,"masks, N95 / ^",Incident Stabilization,State,Completed,Completed,Logistics Section,KCSO­ ­20202278954/KC­ 20202278954 WA­20202278954,WA­ 20202278954,
1376,2020-02-04,2020-03-21,WA DOH Lab,King,Shoreline,Registered Nurse,Incident Stabilization,State,Cancelled,Cancelled,Planning Section,DOH 0203.01 2020 NCOV,WA­ 20202417623,
1377,2020-03-12,2020-03-21,WA State DOH,Thurston,Tumwater,"Staffing, Call Center, Tumwater",Incident Stabilization,State,Cancelled,Assigned,Planning Section,DOH­T0312.9 WA­ 202031211437,WA­ 202031211437,
1378,2020-03-16,2020-03-21,Swedish Medical,King,Seattle,Ventilator (RR 308),Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031616514 WA­ 202031616514,WA­ 202031616514,
1379,2020-03-06,2020-03-21,PHSKC,King,Seattle,"RR 177 / mask, procedure / gown, disposable / glasses, safety / hand sanitizer",Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203623851 KC­ 20203623851,WA­ 20203623851,
1380,2020-03-19,2020-03-21,"Sean R. White, MD,PS Pediatrics",Grays,Harbor Aberdeen,gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SW­002 GHC046,WA­ 20203191561,
1381,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"Masks, N95 / Wipes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031817533 Kitsap ­ 031BPD,WA­ 202031817533,
1382,2020-03-16,2020-03-21,Ballard Pediatric Cinic,King,Seattle,RR 301 / hand sanitizer / Caviwipes / thermometer probe covers / thermometer oral disposable,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031613250, RR 301 WA­ 202031613250",WA­ 202031613250,
1383,2020-03-07,2020-03-21,Pierce County,Pierce,Puyallup,"Shield, Face",Incident Stabilization,County,Assigned,Assigned,Logistics Section,3,WA­ 20203713708,
1384,2020-03-20,2020-03-21,Kent OEM,King,Kent,Hand Sanitizer and bleach cleaning wipes,Incident Stabilization,County,Assigned,Assigned,Logistics Section,002 KC­ 202032012384,WA­ 202032012384,
1385,2020-03-19,2020-03-21,KC EOC ESF6,Kitsap,Bremerton,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Kitsap ­ 035ESF6,WA­ 202031910424,
1386,2020-03-08,2020-03-21,Pierce County Medical Examiner,Pierce,Tacoma,Swabs,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203814911,WA­ 20203814911,
1387,2020-03-13,2020-03-21,Jail Health/Medical Services ­ King County,King,Seattle,"Disinfectant, wipes / gown, disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203138303,WA­ 20203138303,
1388,2020-03-10,2020-03-21,Eastside Fire and Rescue,King,Sammamish,"Gown, Disposable",Incident Stabilization,County,Accepted,Assigned,Logistics Section,ESFD­2020­ 019 KC­ 202031011469,WA­ 202031011469,
1389,2020-03-19,2020-03-21,"Sean R. White,MD,PS Pediatrics",Grays,Harbor Aberdeen,hand sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SW­001 GHC045,WA­ 202031915740,
1390,2020-03-06,2020-03-21,City of Bothell,King,Bothell,"Mask, N95",Incident Stabilization,County,Accepted,Completed,Logistics Section,BOT0102 KC­ 20203615619,WA­ 20203615619,
1391,2020-03-13,2020-03-21,South Pierce Fire & Rescue,Pierce,Roy,"Mask, N95 / Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,28947 WA­ 20203139134,WA­ 20203139134,
1392,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"Mask, Disposable, Large, 1000",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812346 Kitsap ­ 028NWHRN,WA­ 202031812346,
1393,2020-03-04,2020-03-21,Emerald Heights,King,Seattle,"gown / mask, surgical / shield, face",Incident Stabilization,County,Accepted,Accepted,Logistics Section,PH­ 2020348668 KC­ 2020348668,WA­ 2020348668,
1394,2020-03-18,2020-03-21,Kitsap County Dept of Emergency Mgt,Kitsap,Bremerton,"Mask, N95, Large, 150",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031812844 Kitsap ­ 027NWHRN,WA­ 202031812844,
1395,2020-03-14,2020-03-21,Avamere Transitional Care,Pierce,Tacoma,"Gown, Disposable / Mask, Procedure / Shield, Face / Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,29293 WA­ 202031414961,WA­ 202031414961,
1396,2020-03-05,2020-03-21,PHSKC,King,Seattle,"Mask, N95, surgical / gown / goggles",Incident Stabilization,County,Accepted,Completed,Logistics Section,PH­ 20203511222 KC­ 20203511222,WA­ 20203511222,
1397,2020-03-07,2020-03-21,Evergreen Health,King,Seattle,"RR 181 / mask, procedure, N95, surgical / glasses, safety / shield, face / disinfectant, wipes",Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203714692 KC­ 20203714692,WA­ 20203714692,
1398,2020-03-18,2020-03-21,Westport Police Dept.,Grays,Harbor Westport,"Sanitizer, 4oz, 24 / Hand Sanitizer, 1⁄2 gallon, 6",Incident Stabilization,County,Assigned,Assigned,Logistics Section,0002 GHC036,WA­ 202031812518,
1399,2020-03-13,2020-03-21,PHSKC KCMEO,King,Seattle,"Viral Transport Tubes , Swabs, Sterile plastic Shaft / RR 256 ­",Incident Stabilization,County,Assigned,,,PH­ 202031313618 KC­ 202031313618,WA­ 202031313618,
1400,2020-03-19,2020-03-21,Okanogan EM / Jamie's Place,Okanogan,Winthrop,"Gown, disposable, regular / Mask, N95, large, /Glasses, safety, / Eye Protection",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031914608 okem20200319­ 0013,WA­ 202031914608,
1401,2020-03-17,2020-03-21,Grant County Health District,Grant,Coulee City,"Test, COVID­19",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031715327 2020­7,WA­ 202031715327,
1402,2020-03-18,2020-03-21,Tri­Cities Residential Services,Benton,Kennewick,"gown, disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC021­ COVID19,WA­ 202031813712,
1403,2020-02-21,2020-03-21,DOH IMT,King,Shoreline,COVID­19 Advanced Planning,Incident Stabilization,State,On Scene,On Scene,Disaster Manager,DOH 0221 SEOC,WA­ 202022117647,
1404,2020-03-18,2020-03-21,Nuclear Care Partners ­ Washington,Benton,Richland,"Mask, N95/ Mask, procedure/ face shields",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031817456 BC023­ COVID19,WA­ 202031817456,
1405,2020-03-19,2020-03-21,Okanogan EM / Fire Dist 15 EMS,Okanogan,Pateros,Wipes / Disinfectant / Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031911588 OKEM20200319­ 0005,WA­ 202031911588,
1406,2020-03-17,2020-03-21,Grant County Health District,Grant,Coulee City,"Test, COVID­19",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031714493 2020­6,WA­ 202031714493,
1407,2020-03-18,2020-03-21,Nuclear Care Partners ­ Washington,Benton,Richland,"Gloves, Exam, Large, 1000 / Gowns, Disposable, 500 / Hand Sanitizer, 4oz, 50",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031817785 BC024­ COVID19,WA­ 202031817785,
1408,2020-03-18,2020-03-21,Tri­Cities Residential Services,Benton,Kennewick,"Goggles, Safety",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC019­ COVID19,WA­ 202031813801,
1409,2020-03-18,2020-03-21,Tri­Cities Residential Services,Benton,Kennewick,"Mask, procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC020­ COVID19,WA­ 202031813735,
1410,2020-03-19,2020-03-21,Okanogan EM / Fire Dist 15 EMS,Okanogan,Brewster,"Sprayer, Electrostatic",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031911735 OKEM20200319­ 0008,WA­ 202031911735,
1411,2020-03-18,2020-03-21,Tri­Cities Residential Services,Benton,Kennewick,"Thermometer, oral",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BC022­ COVID19,WA­ 202031813710,
1412,2020-03-18,2020-03-21,The Caring Place ­ DSHS Adult Family Home,Benton,Kennewick,"Mask, procedure/gown, disposable/ goggle,safety/ hand sanitizer",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203181740 BC025­ COVID19,WA­ 20203181740,
1413,2020-03-10,2020-03-21,Mercer Island Police/Fire,King,Mercer Island,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Finance and Administration Section,Mi­002 KC­ 202031011224,WA­ 202031011224,
1414,2020-03-19,2020-03-21,Okanogan EM / FHC Twisp,Okanogan,Twisp,"Mask,N95, / Gown, disposable, /",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031914606 OKEM20200319­ 0012,WA­ 202031914606,
1415,2020-03-20,2020-03-21,Richland Fire Department,Benton,Richland,"Mask, N95, Shield Face, / Gown, disposable, /",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203208193 BC026­ COVID19,WA­ 20203208193,
1416,2020-03-11,2020-03-21,EvergreenHealth,King,Kirkland,"Mask, N95 / Gown, Disposable / Goggles, Safety",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031114569 PH­ 202031114569,WA­ 202031114569,
1417,2020-03-07,2020-03-21,PHSKC,King,Seattle,"RR 184 / mask / gown / glasses, safety / gloves, exam",Incident Stabilization,County,Assigned,Accepted,Logistics Section,PH­ 20203713265 KC­ 20203713265,WA­ 20203713265,
1418,2020-03-19,2020-03-21,City of Marysville,Snohomish,Marysville,"Gowns, Isolation",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 202031915404,WA­ 202031915404,
1419,2020-03-10,2020-03-21,Mercer Island Police,King,Mercer Island,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,mi­004 KC­ 202031015809,WA­ 202031015809,
1420,2020-03-19,2020-03-21,Washington Odd Fellows Home,Walla,Walla Walla Walla,"Gloves, exam, / Gown, disposable, / mask, procedure, / Mask, N95, / Mask, procedure, / PPE",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031916980 0319002,WA­ 202031916980,
1421,2020-02-07,2020-03-21,PHSKC,King,Seattle,n­95 respirators,Incident Stabilization,County,Assigned,Completed,Logistics Section,PH­ 20202713395 .,WA­ 20202713395,
1422,2020-03-10,2020-03-21,Mercer Island Fire Department,King,Mercer Island,"Mask, N95 / Gown, Disposable / Mask, Procedure / Gloves, Exam / Wipes / Bleach / Goggles, Safety",Incident Stabilization,County,Accepted,Assigned,Logistics Section,Mi­002 KC­ 20203101462,WA­ 20203101462,
1423,2020-03-13,2020-03-21,Swedish Mill Creek Medical,Snohomish,Mill Creek,"Mask, Surgical #41805",Incident Stabilization,County,Assigned,Completed,Logistics Section,MC011/SNOCO ­ 202031313462 WA­ 202031313462,WA­ 202031313462,
1424,2020-03-17,2020-03-21,Walla Walla Sleep Center,Walla,Walla Walla Walla,"Mask, Procedure, Large / PPE",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031715902 0317002,WA­ 202031715902,
1425,2020-03-11,2020-03-21,Providence Everett Medical,Snohomish,Everett,"Goggles, Safety",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PSJH SNOHOMISH GOGGLE­ 31020 SNOCO­ 202031113923,WA­ 202031113923,
1426,2020-03-17,2020-03-21,Walla Walla County Sheriffs Office,Walla,Walla Walla Walla,"Mask, N95, Large / Goggles,Safety, Thermometer, Shield, Face,/ Gloves, Exan, Medium, / Gloves, exam, Large, /Gloves, Exam, / X­ Large / PPE",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031713595 0317001,WA­ 202031713595,
1427,2020-03-11,2020-03-21,King County Fire District #2 (Burien FD),King,Burien,"Gown, Disposable, Large X­Large",Incident Stabilization,County,Assigned,Assigned,Logistics Section,002 002,WA­ 202031116403,
1428,2020-03-05,2020-03-21,Walla Walla County Emergency Management,Walla,Walla Walla Walla,"Gown, Disposable / Mask, Procedue / Mask, N95 / Wipes / Hand Sanitizer",Incident Stabilization,County,Assigned,Assigned,Logistics Section,0305002 0305002,WA­ 20203515680,
1429,2020-03-11,2020-03-21,Richmond Pediatrics,King,Shoreline,"Gown, Disposable / Mask N95 / Mask Procedure Small",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031112913 PH­ 202031112913,WA­ 202031112913,
1430,2020-03-14,2020-03-21,Puget Sound Regional Services,King,Renton,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031423242, RR 292 KC­ 202031423242",WA­ 202031423242,
1431,2020-03-13,2020-03-21,Snohomish County Medical Examiner,Snohomish,Everett,Headcover PPE PaPR Kit,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ 202031315164,WA­ 202031315164,
1432,2020-03-05,2020-03-21,Walla Walla County Emergency Management,Walla,Walla Walla Walla,"Gown, Isolation / mask, N95 / mask, surgical",Incident Stabilization,County,Assigned,Assigned,Logistics Section,35001,WA­ 2020358698,
1433,2020-03-18,2020-03-21,Council for the Homeless,Clark,Vancouver,"Hand Sanitizer, 8oz, 1000 / Mask, Disposable, Large, 1000",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203181295 CREOC­0006,WA­ 20203181295,
1434,2020-03-16,2020-03-21,Aberdeen Fire Department,Grays,Harbor Aberdeen,"Gown, Protective Procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,3­16­1 GHC025,WA­ 202031611624,
1435,2020-03-18,2020-03-21,Clark County / CRESA,Clark,Vancouver,"Wipes, disinfecting, / Hand Sanitizer, / Mask, N96,/ Goggles, safety, / Gown, disposable./ Tyvek Suit, assorted sizes, /Face mask, hand sanitizer, N95 mask, disinfectant wipe, eye protection, slash gown, Tyvek suit",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203189205 CREOC­0005,WA­ 20203189205,
1436,2020-03-19,2020-03-21,Aljoya,King,Mercer Island,"Masks, Surgical / RR 348 (DO NOT REMOVE) ­ PPE for Aljoya Mercer Island",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031913881, RR 348 KC­ 202031913881",WA­ 202031913881,
1437,2020-03-19,2020-03-21,Northwest Medical Associates,Clark,Vancouver,Gowns and N95 masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID­017,WA­ 202031914148,
1438,2020-03-19,2020-03-21,North Seattle Pediatrics,King,Seattle,"Masks, visor or faceshield / Masks, N95 / Gown, Universal / RR 351 (DO NOT REMOVE) ­ PPE for North Seattle Pediatrics",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031916382, RR 351 KC­ 202031916382",WA­ 202031916382,
1439,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,60 boxes surgical masks Lawson#136787,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203198680 COVID­012,WA­ 20203198680,
1440,2020-03-19,2020-03-21,Clark County Public Health,Clark,Vancouver,"Regular, N95, 6 Boxes / Mask, Disposable, Small, N95, 6 Boxes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203199636 COVID­13,WA­ 20203199636,
1441,2020-03-16,2020-03-21,Rescare Homecare,Grays,Harbor Aberdeen,"Mask, Procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,RH001 GHC018,WA­ 202031610393,
1442,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,3M PAPR Hoods,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031911840 COVID­014,WA­ 202031911840,
1443,2020-03-19,2020-03-21,Clark County / CRESA,Clark,Vancouver,Mask / latex glove / hand sanitizer / disinfecting wipe,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031911815 CREOC­ 0017/18,WA­ 202031911815,
1444,2020-03-16,2020-03-21,Rescare Homecare,Grays,Harbor Aberdeen,"Gloves, exam, medium, large, extra large",Incident Stabilization,County,Assigned,Assigned,Logistics Section,RH001 GHC017,WA­ 20203169594,
1445,2020-03-09,2020-03-21,Proliance Surgeon Inc.,King,Seattle,"RR 204 / mask, procedure / gown, disposable / hand sanitizer / disinfectant, wipes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203914646,WA­ 20203914646,
1446,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,Fluidshield Masks (Ear Loop),Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031912554 COVID­015,WA­ 202031912554,
1447,2020-03-19,2020-03-21,PeaceHealth SW Medical,Clark,Vancouver,3M Large Hood,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031912352 COVID­016,WA­ 202031912352,
1448,2020-03-15,2020-03-21,Grays Harbor Community Hospital,Grays,Harbor Aberdeen,"Mask, surgical w/Shield",Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHCH003 GHC016,WA­ 202031521618,
1449,2020-03-11,2020-03-21,"Corner Pointe AFH, LLC",King,Federal Way,"Mask, N95 / Mask, Procedure / Hand Sanitizer / Gown, Isolation / Gloves, Exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031115514 PH­ 202031115514,WA­ 202031115514,
1450,2020-03-16,2020-03-21,Woodinville Fire and Rescue,King,Woodinville,"shields, face / mask, surgical / filter, hepa / gown, barrier / wipes, sanitizing / bags, biohazard / mask, N95 all sizes / gloves, XL; safety glasses",Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 202031610530,WA­ 202031610530,
1451,2020-03-15,2020-03-21,Grays Harbor Community Hospital,Grays,Harbor Aberdeen,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHCH002 GHC015,WA­ 202031521962,
1452,2020-03-16,2020-03-21,King County South Correctional Entity,King,Algona,"mask, N95 / thermometers, no contact / Shields, face / Gown, surgical",Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 20203169320,WA­ 20203169320,
1453,2020-03-12,2020-03-22,King County Emergency Management,King,Seattle,"Mask, N95 / Mask Procedure / Gown, Disposable / Gloves, Exam / Shield, Face / Goggles, Safety / Wipes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 202031218219 WA­ 202031218219,WA­ 202031218219,
1454,2020-03-04,2020-03-22,DCHS,King,Seattle,Marshaling Beds/Cots/Mats x 400,Incident Stabilization,County,Assigned,Accepted Unassigned,Logistics Section Operations Section,KC­ 20203410904,WA­ 20203410904,
1455,2020-03-10,2020-03-22,KIRK­2020­100,King,Kirkland,"gown, OSFA / eye protection / mask, N95 med / Tyvek suit, small / Tyvek suit, med / Tyvek suit, Large / tyvek suit, XL / tyvek suit XL Tall / mask, N95 large",Incident Stabilization,County,Assigned,Assigned,Logistics Section,KIRK­2020­ 100 KC­ 202031011768,WA­ 202031011768,
